iter	Passed	Remaining
0	159	159450
1	165	82718
2	171	56966
3	177	44150
4	183	36422
5	188	31276
6	194	27654
7	200	24858
8	206	22709
9	211	20979
10	217	19521
11	222	18311
12	227	17294
13	233	16450
14	238	15693
15	244	15013
16	249	14422
17	254	13905
18	260	13437
19	265	13006
20	270	12606
21	275	12252
22	281	11949
23	287	11680
24	293	11441
25	299	11209
26	304	10983
27	310	10767
28	315	10565
29	320	10377
30	326	10202
31	331	10032
32	337	9877
33	342	9727
34	347	9590
35	352	9448
36	358	9317
37	363	9196
38	368	9081
39	374	8979
40	379	8874
41	384	8770
42	389	8673
43	395	8583
44	399	8488
45	405	8412
46	410	8329
47	415	8242
48	421	8171
49	426	8096
50	431	8023
51	436	7958
52	441	7895
53	446	7824
54	452	7769
55	457	7710
56	462	7654
57	468	7603
58	473	7552
59	478	7495
60	484	7454
61	489	7406
62	495	7365
63	500	7315
64	505	7270
65	511	7235
66	516	7196
67	523	7169
68	529	7138
69	534	7103
70	540	7070
71	545	7036
72	551	7003
73	557	6974
74	563	6952
75	570	6934
76	576	6906
77	582	6882
78	588	6857
79	593	6825
80	599	6797
81	604	6771
82	610	6743
83	616	6719
84	621	6695
85	627	6667
86	633	6646
87	639	6624
88	644	6594
89	650	6576
90	656	6553
91	661	6526
92	667	6507
93	672	6481
94	677	6457
95	684	6442
96	689	6420
97	695	6401
98	701	6381
99	706	6361
100	712	6339
101	717	6320
102	723	6300
103	729	6283
104	735	6267
105	740	6247
106	746	6231
107	752	6213
108	757	6195
109	764	6183
110	770	6168
111	775	6146
112	780	6129
113	786	6113
114	792	6099
115	797	6078
116	803	6064
117	809	6048
118	815	6037
119	821	6023
120	827	6010
121	833	5996
122	839	5984
123	845	5975
124	851	5962
125	857	5948
126	863	5938
127	869	5924
128	874	5907
129	880	5894
130	886	5882
131	893	5872
132	899	5861
133	904	5847
134	910	5832
135	916	5821
136	921	5807
137	928	5800
138	934	5790
139	940	5775
140	946	5766
141	952	5754
142	958	5744
143	964	5735
144	971	5726
145	977	5715
146	982	5703
147	988	5689
148	994	5678
149	1000	5667
150	1006	5656
151	1012	5647
152	1017	5635
153	1023	5623
154	1029	5613
155	1035	5601
156	1041	5592
157	1046	5576
158	1051	5564
159	1058	5555
160	1063	5543
161	1069	5531
162	1074	5518
163	1080	5505
164	1085	5492
165	1091	5483
166	1097	5472
167	1102	5460
168	1108	5450
169	1114	5441
170	1120	5430
171	1127	5426
172	1132	5415
173	1138	5405
174	1144	5397
175	1150	5388
176	1156	5378
177	1162	5368
178	1167	5356
179	1173	5345
180	1179	5335
181	1184	5323
182	1190	5313
183	1196	5305
184	1202	5297
185	1208	5287
186	1213	5276
187	1219	5267
188	1224	5255
189	1230	5245
190	1236	5235
191	1241	5226
192	1247	5214
193	1253	5206
194	1259	5197
195	1265	5189
196	1271	5183
197	1278	5178
198	1284	5168
199	1290	5162
200	1296	5152
201	1302	5143
202	1308	5136
203	1314	5129
204	1320	5122
205	1327	5115
206	1333	5107
207	1339	5100
208	1345	5092
209	1351	5085
210	1357	5076
211	1363	5068
212	1370	5062
213	1376	5054
214	1382	5047
215	1388	5039
216	1394	5033
217	1401	5027
218	1407	5020
219	1415	5017
220	1422	5012
221	1428	5006
222	1435	5001
223	1442	4996
224	1448	4988
225	1455	4983
226	1461	4977
227	1469	4974
228	1476	4969
229	1482	4963
230	1488	4955
231	1494	4946
232	1500	4939
233	1506	4933
234	1513	4925
235	1519	4917
236	1525	4909
237	1531	4902
238	1537	4894
239	1543	4886
240	1549	4879
241	1555	4872
242	1561	4865
243	1568	4859
244	1574	4852
245	1580	4845
246	1587	4838
247	1593	4830
248	1599	4823
249	1605	4816
250	1611	4807
251	1616	4798
252	1622	4791
253	1629	4784
254	1635	4777
255	1640	4768
256	1647	4762
257	1653	4755
258	1659	4747
259	1664	4738
260	1670	4730
261	1677	4723
262	1683	4716
263	1688	4708
264	1696	4705
265	1703	4699
266	1709	4694
267	1716	4688
268	1722	4681
269	1729	4675
270	1735	4668
271	1741	4660
272	1747	4654
273	1753	4646
274	1759	4638
275	1765	4630
276	1771	4622
277	1777	4615
278	1783	4609
279	1789	4602
280	1796	4596
281	1802	4589
282	1809	4583
283	1815	4576
284	1821	4570
285	1828	4564
286	1833	4555
287	1839	4548
288	1846	4542
289	1852	4536
290	1859	4530
291	1865	4523
292	1872	4517
293	1878	4511
294	1885	4506
295	1891	4499
296	1898	4494
297	1905	4488
298	1911	4482
299	1918	4475
300	1924	4469
301	1930	4462
302	1937	4456
303	1944	4451
304	1950	4445
305	1957	4439
306	1964	4433
307	1970	4427
308	1976	4420
309	1983	4413
310	1989	4406
311	1995	4400
312	2002	4394
313	2007	4386
314	2013	4378
315	2019	4370
316	2024	4362
317	2030	4355
318	2036	4347
319	2042	4339
320	2048	4332
321	2053	4323
